corridor,counted,reason_if_excluded,address,permitnum,permittype,permitclass,issued_year,issued_date,status,units_added,units_removed,net_units,description
N/NE 45th St,False,lng -122.34906524 W of Stone Way,721 N 45TH ST,7036817-CN,New,Single Family/Duplex,2025,2025-04-10,Issued,2.0,0.0,0,Construct west two-family dwelling  per plan. (Establish use as townhouse per land use code. Construct two 2-family buil
N/NE 45th St,False,lng -122.35911878 W of Stone Way,217 NW 45TH ST,7065725-CN,Addition/Alteration,Single Family/Duplex,2025,2025-05-29,Completed,1.0,0.0,0,Allow new detached accessory dwelling unit to existing single family use per land use code.  Construct new one family dw
N/NE 45th St,False,lat 47.73358463 not on 45th line,3541 NE 145TH ST,7056577-CN,New,Single Family/Duplex,2025,2025-07-14,Issued,1.0,0.0,0,Construct a one-family dwelling  per plan.  (Allow both an attached and detached accessory dwelling unit per the land us
N/NE 45th St,False,lng -122.29546241 E of I-5,3020 NE 45TH ST,6957110-PH,New,Multifamily,2025,2025-10-01,Phase Issued,734.0,0.0,0,Phased project: Construct residential/commercial building with three residential towers above podium and below grade par
N/NE 45th St,False,lng -122.36115925 W of Stone Way,304 NW 45TH ST,7105862-CN,Addition/Alteration,Single Family/Duplex,2025,2025-10-23,Issued,1.0,0.0,0,Allow new detached accessory dwelling unit to existing single family use per land use code.  Construct new 1-family dwel
N/NE 45th St,False,not issued (pipeline),100 NE 45th ST,6710960-CN,New,Multifamily,,,Additional Info Requested,6.0,0.0,0,Construct 4 Live Work (X > 4 000 sf) and two townhouse units with parking per plan.
N/NE 45th St,False,not issued (pipeline),100 NE 45th ST,6710959-DM,,Multifamily,,,Additional Info Requested,6.0,0.0,0,Construct 4 Live Work (X > 4 000 sf) and two townhouse units with parking per plan.
N/NE 45th St,False,lng -122.31707108 E of I-5,1013 NE 45TH ST,6826951-DM,Demolition,Multifamily,,,Corrections Required,370.0,0.0,0,Demolish existing gas station and accessory car wash building  per plan
N/NE 45th St,False,lng -122.31707108 E of I-5,1013 NE 45TH ST,6826950-CN,New,Multifamily,,,Corrections Required,370.0,0.0,0,Construct shoring & excavation for new mixed-use high rise building  per plan.
N/NE 45th St,False,lng -122.31707108 E of I-5,1013 NE 45TH ST,6906292-PH,New,Commercial,,,Additional Info Requested,370.0,0.0,0,Phased Project: Construct mixed-use high-rise building with below-grade parking  occupy per plan.
N/NE 45th St,False,lng -122.31522998 E of I-5,1200 NE 45TH ST,6710773-CN,New,Multifamily,,,Corrections Required,154.0,0.0,0,Establish use and Construct mixed-use high-rise apartment building with below-grade parking  occupy per plan. Mechanical
N/NE 45th St,False,lat 47.73380397 not on 45th line,1201 NE 145TH ST,7021855-DM,,Commercial,,,Additional Info Requested,0.0,2.0,0,BRS-123 Pre-AppSound Transit's Stride bus rapid transit will be a fast  frequent  and reliable bus service connecting to
N/NE 45th St,False,lat 47.73379889 not on 45th line,1207 NE 145TH ST,6979282-DM,Demolition,Commercial,,,Additional Info Requested,0.0,6.0,0,Demo two-family dwelling  per plan
N/NE 45th St,False,lng -122.31394172 E of I-5,1300 NE 45TH ST,6740357-CN,New,Commercial,,,Corrections Required,342.0,0.0,0,Construct a mixed-use residential high-rise building  occupy per plan
N/NE 45th St,False,not issued (pipeline),1928 N 45TH ST,6777658-DM,,Multifamily,,,Additional Info Requested,180.0,0.0,0,Proposed new 5 story mixed-use building (apartments over commercial)
N/NE 45th St,False,not issued (pipeline),1928 N 45TH ST,6777657-CN,New,Multifamily,,,Additional Info Requested,180.0,0.0,0,Proposed new 5 story mixed-use building (apartments over commercial)
N/NE 45th St,False,not issued (pipeline),2105 N 45TH ST,6946250-CN,New,Multifamily,,,Additional Info Requested,70.0,0.0,0,Project includes demolition of existing vacant structure. The proposed development is a 5-story residential building wit
N/NE 45th St,False,not issued (pipeline),2105 N 45TH ST,6946251-DM,,Multifamily,,,Additional Info Requested,70.0,0.0,0,Project includes demolition of existing vacant structure. The proposed development is a 5-story residential building wit
N/NE 45th St,False,lng -122.29756149 E of I-5,2724 NE 45TH ST,6996330-CN,New,Multifamily,,,Reviews In Process,113.0,0.0,0,Construct new mixed-use building  occupy per plan.
N/NE 45th St,False,not issued (pipeline),324 NE 45TH ST,6084808-CN,New,Commercial,,,Canceled,10.0,0.0,0,Construct a new mixed used building & Occupy per plan.PROJECT CANCELLED AS PER APPLICANT MATTHEW DAY 6/4/2010 LFD 6/4/20
N/NE 45th St,False,lng -122.28843336 E of I-5,3620 NE 45TH ST,6491720-CN,Addition/Alteration,Commercial,,,Canceled,1.0,0.0,0,6/22/2016 - CANCELLED CUSTOMER LOG #16-893Construct additions and substantial alterations to existing commercial buildin
N/NE 45th St,False,lng -122.27524247 E of I-5,4833 NE 45TH ST,7143065-CN,Addition/Alteration,Single Family/Duplex,,,Scheduled,1.0,0.0,0,SECOND FLOOR AND REAR ADDITION TO AN EXISTING ONE-STORY WITH BASEMENT SINGLE-FAMILY RESIDENCE.  EXISTING BASEMENT CONVER
N/NE 45th St,False,lng -122.35129763 W of Stone Way,602 N 45TH ST,6820090-CN,New,Single Family/Duplex,,,Additional Info Requested,1.0,0.0,0,We would like to add another living unit to the existing property  adjacent to the existing house by either remodeling t
N/NE 45th St,False,lng -122.34643967 W of Stone Way,951 N 45th ST,6690383-CN,Addition/Alteration,Multifamily,,,Additional Info Requested,1.0,0.0,0,Add new unit within the footprint of an existing apartment building per SMC 23.45.512.G.1.
Stone Way N,False,#4809 outside 34th-45th segment,4809 STONE WAY N,6101156-DM,,Single Family/Duplex,2006,2006-12-07,Completed,0.0,1.0,0,Demolish single family residence known as 4809 Stone Way N  subject to field inspection
Stone Way N,False,#4807 outside 34th-45th segment,4807 STONE WAY N,6101154-CN,New,Single Family/Duplex,2006,2006-12-14,Completed,1.0,0.0,0,Establish use and construct single family residence with attached garage  per plan. (review and processing under AP #609
Stone Way N,False,#4809 outside 34th-45th segment,4809 STONE WAY N,6097516-CN,New,Single Family/Duplex,2006,2006-12-14,Completed,2.0,0.0,0,Establish use and construct duplex townhome with attached garages  per plan. (review and processing for 2 APs under 6097
Stone Way N,False,demolition permit (units counted on construction permit),4214 STONE WAY N,6097556-DM,,Commercial,2007,2007-03-27,Completed,0.0,3.0,0,Demo (3) existing single family dwellings  per plans and mup #2201813 (review and processing under project #6094607).
Stone Way N,True,,4214 STONE WAY N,6094607-CN,New,Commercial,2007,2007-03-27,Completed,40.0,0.0,40.0,Construct a new mixed use building with accessory basement parking and occupy  per plans.
Stone Way N,False,#4709 outside 34th-45th segment,4709 STONE WAY N,6211719-CN,NONE,Single Family/Duplex,2009,2009-09-18,Completed,1.0,0.0,0,Alterations to create additional dwelling unit -change use from single family residence to duplex per plan
Stone Way N,True,,4103 STONE WAY N,6233599-CN,Addition/Alteration,Single Family/Duplex,2011,2011-06-23,Completed,1.0,0.0,1.0,Construct 2nd floor addition and alter basement for new dwelling unit  per plan.
Stone Way N,True,,3920 STONE WAY N,6155610-CN,New,Commercial,2011,2011-07-22,Completed,154.0,0.0,154.0,Phase III of III to establish use as multifamily structure  retail  restaurant live/work  structural and architectural c
Stone Way N,False,demolition permit (units counted on construction permit),4301 STONE WAY N,6270598-DM,Demolition,Commercial,2011,2011-11-03,Completed,0.0,6.0,0,Demolish building located at 4301 Stone Way N.  per STFI
Stone Way N,True,,4301 STONE WAY N,6197474-CN,New,Commercial,2011,2011-11-03,Completed,93.0,0.0,93.0,Establish use and construct apartment/commercial mixed-use building with underground parking  (mechanical included) and 
Stone Way N,True,,4111 STONE WAY N,6309880-CN,New,Commercial,2012,2012-05-30,Completed,27.0,0.0,27.0,Construct new mixed use (residential and retail) building with associated parking at grade and occupy  per plans.
